	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
328	44.0	6.25	0	7.313569788306667e-13	9.970690519550228e-16
329	44.0	7.75	0	7.702491513074159e-13	3.091474852565246e-15
330	44.0	8.25	0	7.813833105447485e-13	4.623140778579991e-15
331	44.0	9.75	0	8.2804307040912e-13	4.103440617039519e-15
332	44.0	10.25	0	8.396746092203188e-13	2.202375071123256e-15
333	45.0	2.25	0	6.203593191414018e-13	3.469509323149604e-15
334	45.0	3.75	0	6.538345518442566e-13	3.965076778157401e-15
335	45.0	4.25	0	6.628151633521865e-13	2.114467945373693e-15
336	45.0	5.75	0	6.971449364931211e-13	5.463375061897694e-15
337	45.0	6.25	0	7.114604730579785e-13	2.762433823373223e-15
338	45.0	7.75	0	7.467373838980851e-13	2.988178847950283e-15
339	45.0	8.25	0	7.591705504267393e-13	1.963957871569744e-15
340	45.0	9.75	0	8.055789748681465e-13	2.403873970517221e-15
341	45.0	10.25	0	8.201299730397815e-13	1.293586165575965e-15
342	46.0	2.25	0	6.034100519074783e-13	2.415002013689336e-15
343	46.0	3.75	0	6.334975476723731e-13	9.211171068034814e-16
344	46.0	4.25	0	6.458526679381067e-13	3.457329744543284e-15
345	46.0	5.75	0	6.793120268247743e-13	2.022703663669644e-15
346	46.0	6.25	0	6.89952774942286e-13	3.852071500160487e-15
347	46.0	7.75	0	7.289600325863936e-13	3.269756402108381e-15
348	46.0	8.25	0	7.414143642032977e-13	3.977493883722397e-15
349	46.0	9.75	0	7.833185933015764e-13	4.865779246452069e-15
350	46.0	10.25	0	7.964713728307185e-13	4.9793250466812e-15
351	47.0	2.25	0	5.881182756471048e-13	2.131808686283719e-15
352	47.0	3.75	0	6.192918050028103e-13	4.595875929997721e-15
353	47.0	4.25	0	6.305093017751256e-13	2.104025949828649e-15
354	47.0	5.75	0	6.625307574788323e-13	2.381178251175497e-15
355	47.0	6.25	0	6.732865907637018e-13	2.268030285330903e-15
356	47.0	7.75	0	7.105053984507133e-13	2.162240093082832e-15
357	47.0	8.25	0	7.225509793007958e-13	2.114490013505325e-15
358	47.0	9.75	0	7.616442201159174e-13	9.43019882877486e-16
359	47.0	10.25	0	7.756092099066405e-13	1.831836936040249e-15
360	48.0	2.25	0	5.76124284699631e-13	2.172237428018665e-15
361	48.0	3.75	0	6.033571391868542e-13	1.451997909931883e-15
362	48.0	4.25	0	6.133536749307676e-13	1.320523140424162e-15
363	48.0	5.75	0	6.476397950771868e-13	1.818958307497815e-15
364	48.0	6.25	0	6.58519973255523e-13	1.786460710115089e-15
365	48.0	7.75	0	6.930838851852193e-13	1.665937913273799e-15
366	48.0	8.25	0	7.046506059136532e-13	4.874364511159916e-16
367	48.0	9.75	0	7.442822336611257e-13	3.478474835524214e-15
368	48.0	10.25	0	7.578768344074792e-13	2.277196539090616e-15
369	8.25	2.0	0	2.601397028310582e-12	4.886705559253772e-15
370	8.25	3.0	0	2.707676196138192e-12	3.751172310058044e-15
371	8.25	4.0	0	2.831263114881953e-12	2.426094401765076e-15
372	8.25	5.0	0	2.957032683351457e-12	4.010886603694581e-15
373	8.25	6.0	0	3.086799807864115e-12	2.255705854188114e-15
374	8.25	7.0	0	3.226370336690407e-12	2.94139326466738e-15
375	8.25	8.0	0	3.374779935496965e-12	3.710826539130486e-15
376	8.25	9.0	0	3.536456076182002e-12	4.541100473876651e-15
377	8.25	10.0	0	3.704542592970652e-12	9.539954061705393e-15
